Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,AGG,SPY,AGG,SPY,AGG,SPY,AGG,SPY,AGG,SPY
Date,,,,,,,,,,
2018-01-02,89.87993621826172,239.27401733398438,89.99519807063186,239.30963516954063,89.71527822381863,238.0543713585525,89.95403671267101,238.44608604432673,8850900,86655700
2018-01-03,89.88813781738281,240.78749084472656,89.94576872229165,240.9388462870651,89.81403735033,239.44319587310346,89.94576872229165,239.44319587310346,2441700,90070400
2018-01-04,89.83055877685547,241.80226135253906,89.86349163885993,242.29191813413124,89.71529690049044,240.8497087020701,89.75645826702015,241.4372805389171,2945400,80636400
2018-01-05,89.77291870117188,243.41378784179688,89.86348249214085,243.53840954414798,89.69881819887884,242.10511054060882,89.86348249214085,242.60365168692286,4322900,83524000
2018-01-08,89.74820709228516,243.8588409423828,89.83053608584959,244.01908043983636,89.69880467110683,243.02199845330773,89.83053608584959,243.31577086530595,3394500,57319200
2018-01-09,89.5011978149414,244.41085815429688,89.66586205390482,245.0429322251676,89.4847345316943,244.00132088611272,89.66586205390482,244.28620928960078,2301300,57254000
2018-01-10,89.5011978149414,244.036865234375,89.5094325972142,244.30395822037724,89.27067416169109,242.96857479570195,89.31184179175655,243.64515058966128,4194300,69574300
2018-01-11,89.54235076904297,245.81736755371094,89.62467973438176,245.81736755371094,89.41885418038608,244.4285710158833,89.46002180370418,244.5977217503509,3470400,62361500
2018-01-12,89.52592468261719,247.41986083984375,89.60002518431484,247.5889844174419,89.43536089237587,245.78176654463016,89.44359567729794,246.08447737219623,3605900,90816100
2018-01-16,89.55059051513672,246.57403564453125,89.72348952974883,249.35162810525097,89.50942916794666,245.87072628158032,89.63292577211324,248.6928478127167,6794400,106555100
2018-01-17,89.45178985595703,248.92431640625,89.60821301066584,249.31603098256036,89.42709179370289,246.57405611682844,89.51765554283317,247.51772473200143,3146300,113258800
2018-01-18,89.25419616699219,248.50599670410156,89.3529884127882,249.23598575230417,89.20479376279675,248.00742850195167,89.27065944752572,248.8086803911024,2896500,100728000
2018-01-19,89.06486511230469,249.63656616210938,89.24599266814856,249.63656616210938,89.03193225839675,248.50595137556033,89.24599266814856,249.09349614004213,2933800,140920100
